Quarter,Date,School Name,UNITID,Fossil Fuel Exposure,Divested?,Type of Divestment,"Able to confirm ""rejection""","Type of ""no""",Key NO Text,Reason for rejection,NAS Citation,Relevant links,MY CODES:,Substitute Sustainability,Substitute Sustainability Education,Substitute Impact Investing,Fiduciary,Apolitical,Not Enough Comparable Institutions Divesting,Ineffective,No Consensus on Effectiveness,Unpredictable,Contradictory,No Political Consensus,Insufficient Campus Discourse,Focus on Consumption,Insufficient Moral Case,Shareholder Engagement,Risk Losing Company Donors,Previous Action Enough,Slippery Slope,Fossil Fuels are Necessary,Criticism of Divestment Movement Tactics,Too Complicated,Fossil Fuel Companies = Green Energy Companies,NAS CODES:,Costs,Donor Intent,Fiduciary,Substitute Academic Study of Sustainability,Target Consumption Instead,Shareholder Engagement,Too Political,Anti-Intellectual,Slippery Slope,Ineffective,Fossil Fuels are Necessary,Not Enough Peer Institutions,Does Not Discriminate Better From Worse Fossil Fuel Companies
2014 Q4,21-Nov-14,American University,131159,,No,NA,Yes,Unconditional,"Since the conditions for board__ primary Fiduciary responsibilities cannot be satisfied, the Finance and Investment Committee concluded that divestment is not an option the board can take to express a position on climate change.",Fiduciary,"Jeffrey A. Sine, __all 2014 Board of Trustees Meeting__ustainability & Fossil Free Discussion and Decision,_ Memo to
American University Community, November 21, 2014. http://www.american.edu/trustees/Announcement-November-21-2014.
cfm?refresh.", ,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2015 Q1,24-Feb-15,Amherst College,164465,,No,NA,Yes,Unconditional,The statement does not endorse divestment of the endowment from fossil fuels.,Substitute Sustainability; Fiduciary,"Amherst College Board of Trustees, Letter to Members of the Amherst College Community, Amherst College, February 24,
2015. https://www.amherst.edu/aboutamherst/facts/trustees/statements/node/600726.", ,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,
2014 Q1,21-Jan-14,Bates College,160977,,No,NA,Yes,Unconditional,"Based on these interactions over a period of time and a careful review of the full range of implications, the Board of Trustees has chosen not to alter its current framework for endowment investment to divest from the fossil fuel industry.",Fiduciary; Apolitical; Substitute Sustainability Education,"Clayton Spencer, Letter to Members of the Bates Community, Bates College Office of the President, January 21, 2014.
http://www.bates.edu/president/2014/01/21/statement-on-climate-change-and-divestment/.", ,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,,,1,,,,,,
2014 Q1,14-Feb,Boston College,164924,,No,NA,Yes,Informal,"""'He told us straightforwardly that BC would not lead on divestment; that no large-endowment universities are moving on this; that our efforts were praise-worthy, but we should find something more realistic.'""",Contradictory; Ineffective; Not Enough Comparable Schools,"__C Fossil Free Meets with Fr. Leahy on Divestment,_ Climate Justice @ Boston College, February 2014. http://
climatejusticebc.com/resources/relations-with-bc-administration/.", ,,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,,,1,,1,
2012 Q4,7-Dec-12,Bowdoin College,161004,,No,NA,Yes,At this time,"_'At this point, we__e not prepared to commit to divest from fossil fuels, but I would never say never,' said President Mills on Tuesday afternoon""; President Rose 3 years later: _'I__e done a lot of reading about where we come from and what our policies are as well as what other schools have done, and I have read or heard nothing to change my view that we should not divest,' he said. __o, we will continue that policy going forward. I__ happy to talk to anybody that wants to talk about this, and we__l always strive to keep an open mind.'""",Apolitical; No Political Consensus; Ineffective; Should Focus On Consumption,"Marisa McGarry, __ills says College Will Not Divest From Fossil Fuels,_ Bowdoin Orient, December 7, 2012. http://
bowdoinorient.com/article/7814. Sam Chase, __ose Plans to Listen and Learn in Early Days of Presidency,_ Bowdoin Orient, July 2, 2015. http://
bowdoinorient.com/article/10313.", ,,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,, ,,,,1,,1,,,1,,,
2013 Q4,27-Oct-13,Brown University,217156,,No,NA,Yes,Unconditional,The conclusion of this discussion is that Brown will not divest from coal . . . Our consideration of divestiture is over,Substitute Sustainability Education; Ineffective; Insufficient Moral Case; Fossil Fuels Are Necessary,"Christina H. Paxson, Letter to Members of the Brown Community, Brown University Office of the President, October 27,
2013. http://www.brown.edu/about/administration/president/2013-10-27-coal-divestment-update.", ,,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,1,,,,1,,1,1,,
2013 Q3,18-Aug-13,Bryn Mawr College,211273,,No,NA,Yes,Unconditional,As fiduciaries of the College we are unable to recommend to the full Board this October the changes to the College__ investment strategy that you have called for as they would significantly reduce investment returns and the capacity of the College to fulfill its primary Educational mission.,Fiduciary; Shareholder Engagement; Substitute Sustainability; Ineffective,"Cheryl R. Holland, __etter to Lina, Caroline, Eva, Lena, Betsy, Johanna, Karen, Lee, Sofia, and Jacinda,_ Bryn Mawr
College Board of Trustees, Investment Policy Subcommittee, August 2013. http://news.brynmawr.edu/files/2013/08/
August_27_2013BMCDivest-1.pdf.", ,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,,1,,,1,,,,1,,,1
2013 Q4,1-Oct-13,CUNY Bernard M Baruch College,190512,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY Borough of Manhattan Community College,190521,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY Bronx Community College,190530,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
